"Time","pod:productcatalogservice-w2-66565874fb-vdbc4_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5bbcb977f8-xfd6g_service:recommendationservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-c96hd_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-cx2n8_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-tj8kw_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-66565874fb-bv2kh_service:productcatalogservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-hfqkg_service:redis-cart_node:worker--2.novalocal","pod:adservice-w2-9f97cf96-gwbpr_service:adservice_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-27jrd_service:cartservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-h6tl5_service:currencyservice_node:worker--2.novalocal","pod:recommendationservice-w2-5bbcb977f8-q4dbb_service:recommendationservice_node:worker--2.novalocal"
1635864369.234,0.3399826267516346,0.22046383180953388,0.1688080277799171,0.5578100211625807,0.5486440161947986,0.33959534264392205,0.017090349612690278,0.16302310662945318,0.16861628098103426,0.17109840211349037,0.22102912083722942
1635864384.26,0.38194903471454245,0.24043252470288073,0.1858789937504136,0.6247302730732281,0.6140335932463069,0.38074401026042454,0.018560842246101175,0.17283091449414545,0.18565064800481856,0.18727264823461826,0.23984746448870614
1635864399.286,0.38194903471454245,0.24043252470288073,0.1858789937504136,0.6247302730732281,0.6140335932463069,0.38074401026042454,0.018560842246101175,0.17283091449414545,0.18565064800481856,0.18727264823461826,0.23984746448870614
1635864414.311,0.3912285514299365,0.2399303735953262,0.1840833387959131,0.6511552127446925,0.6374030755685178,0.3877201113689622,0.018312333057004505,0.17273255857472694,0.18501475979737741,0.1846643129206887,0.2400419429595466
1635864429.324,0.3912285514299365,0.2399303735953262,0.1840833387959131,0.6511552127446925,0.6374030755685178,0.3877201113689622,0.018312333057004505,0.17273255857472694,0.18501475979737741,0.1846643129206887,0.2400419429595466
1635864444.349,0.39044480545291244,0.24018964512301338,0.18348985692557163,0.6494471502518939,0.6395056787084598,0.3898815487910037,0.018429131506107164,0.17355559568010265,0.18446221150872616,0.18399910724145446,0.23902447601239465
1635864459.375,0.39044480545291244,0.24018964512301338,0.18348985692557163,0.6494471502518939,0.6395056787084598,0.3898815487910037,0.018429131506107164,0.17355559568010265,0.18446221150872616,0.18399910724145446,0.23902447601239465
1635864474.395,0.3896008906543485,0.23915079104133527,0.1829106166247817,0.6489421857124033,0.6391978254581565,0.3899134045718805,0.018350236095434784,0.1735023747671815,0.18476972172048495,0.18389430685604558,0.23940244905894884
1635864489.416,0.3896008906543485,0.23915079104133527,0.1829106166247817,0.6489421857124033,0.6391978254581565,0.3899134045718805,0.018350236095434784,0.1735023747671815,0.18476972172048495,0.18389430685604558,0.23940244905894884
1635864504.444,0.3903145637085593,0.2393785439228729,0.18253360974781993,0.6491311883917152,0.6397079038205665,0.38965220553870394,0.018451300660111233,0.17351795740343207,0.1846750638374008,0.18322457993087293,0.2398014734640712
1635864519.465,0.3903145637085593,0.2393785439228729,0.18253360974781993,0.6491311883917152,0.6397079038205665,0.38965220553870394,0.018451300660111233,0.17351795740343207,0.1846750638374008,0.18322457993087293,0.2398014734640712
