"Time","worker4","worker2","worker1","system-worker1","system-worker2","vegeta","worker3","master"
1635864369.223,1.7999999970197678,92.48333332904924,2.0884684548521477,20.533333333830043,12.833333332091541,11.566666668901831,2.091666661823794,7.433333332495138
1635864384.25,1.7250000033527613,92.48333332904924,2.0884684548521477,20.533333333830043,12.83333333209157,11.34999999776484,2.091666661823794,7.433333332495138
1635864399.275,1.7250000033527613,89.80833333606522,2.2616585502243822,30.899999998509884,14.199999999254942,11.349999997764826,2.175000002607703,7.483333334481969
1635864414.298,1.6916666676600727,89.80833333606522,2.2616585502243822,30.899999998509884,14.199999999254942,11.555896273085082,2.175000002607703,7.483333334481969
1635864429.312,1.6916666676600727,89.74166666623205,2.20833333209157,18.100000005215406,13.666666665424898,11.555896273085082,2.1333333322157415,7.524999998665123
1635864444.338,1.6499999941637213,89.74166666623205,2.20833333209157,18.100000005215406,13.666666665424898,11.610774055825715,2.1333333322157415,7.524999998665123
1635864459.365,1.6499999941637213,92.42499999857198,2.2250000014901303,21.03333332886298,13.133333337803705,11.610774055825715,2.175000002607703,7.191666667349608
1635864474.382,1.7333333349476163,92.42499999857198,2.225000001490116,19.30000000322859,13.133333337803677,11.266666663189724,2.175000002607703,7.191666667349622
1635864489.406,1.7333333349476163,89.7833333350718,2.149999998509884,19.30000000322859,13.833333334575087,11.266666663189724,2.041666662941381,7.21666666756694
1635864504.432,1.7750000022351742,89.7833333350718,2.149999998509884,21.833333329608024,13.833333334575087,11.350000003973634,2.041666662941381,7.21666666756694
1635864519.456,1.7750000022351742,91.20833333581686,2.1166666659216133,21.83333332960804,13.733333330601454,11.350000003973634,2.158333336313561,7.391666665983692
1635864534.477,1.6833333329607996,91.20833333581686,2.1166666659216133,21.566666668901846,13.733333330601454,11.616666664679826,2.158333336313561,7.391666665983692
1635864549.499,1.6833333329607996,90.59999999900658,2.186948269821059,21.566666668901846,13.233333335568503,11.61666666467984,2.099999999627471,9.574999999410139
1635864564.526,1.6666666666666714,90.59999999900658,2.186948269821059,30.833333333333343,13.233333335568503,11.016666665673256,2.099999999627471,9.574999999410167
1635864579.539,1.6666666666666714,68.76666666784635,2.3298088767200795,30.83333333333333,13.441989132184943,11.016666665673256,2.183333334202544,7.9916666665425
1635864594.564,1.7416666665424998,68.76666666784635,2.3298088767200795,19.1333333340784,13.441989132184943,10.983333333084985,2.1833333342025583,7.9916666665425
1635864609.591,1.7416666665424998,79.29999999701977,2.216666669895247,19.1333333340784,14.02473580989458,10.983333333084985,2.299999995157137,7.250000000931323
1635864624.611,1.7416666665424998,79.29999999701977,2.216666669895247,21.19999999801317,14.02473580989458,11.500000003725262,2.299999995157137,7.250000000931323
1635864639.631,1.7416666665424998,92.09166667113702,2.033333328242108,21.19999999801317,13.933333332339927,11.50000000372529,2.0250000028560606,7.250000000155225
1635864654.658,1.766666667535901,92.09166667113702,2.033333328242108,21.19999999801317,13.933333332339927,11.433333326131105,2.0250000028560606,7.250000000155225
1635864669.683,1.766666667535901,90.38333332786958,2.1333333322157415,19.646725547728877,13.49999999627471,11.433333326131105,2.1416666638106108,8.149999999441206
1635864684.696,1.591666666790843,90.38333332786958,2.1333333322157415,21.453575594193907,13.49999999627471,11.283333338797092,2.1416666638106108,8.149999999441206
1635864699.716,1.591666666790843,90.42500000136594,2.1916666720062494,21.453575594193907,13.466666669895261,11.283333338797092,2.1500000016142877,7.391666667535901
1635864714.737,1.6750000013659445,90.42500000136594,2.1916666720062494,20.366666670888662,13.466666669895261,11.299999995777995,2.1500000016142877,7.391666667535901
