"Time","vegeta","worker3","master","worker4","worker2","worker1","system-worker1","system-worker2"
1635859251.468,7.633333336561918,3.458333332091584,8.025000001459077,1.8083333348234447,40.35833333463719,2.325000002359346,19.266666670640305,12.599999997764826
1635859266.49,7.633333336561918,3.191666665176541,8.025000001459077,1.8083333348234447,57.7750000031665,2.1166666659216133,18.19999999677141,11.999999998758256
1635859281.503,7.71666665871939,3.191666665176541,8.125,1.6833333360652176,57.7750000031665,2.1166666659216133,18.19999999677141,11.999999998758241
1635859296.522,7.716666658719376,3.2333333386729066,8.125,1.6833333360652176,58.01666666287929,2.2833333319673983,16.99999999875824,12.233333333084985
1635859311.546,7.566666671385363,3.2333333386729066,7.766666666138917,1.7499999981373549,58.01666666287929,2.2833333319673983,16.99999999875824,12.233333333084985
1635859326.557,7.566666671385363,3.2249999977647974,7.766666666138917,1.7499999981373549,58.141666667846344,2.123191789573383,19.400000000993415,12.100000002731875
1635859341.575,7.765372435443908,3.224999997764826,7.233333333861083,1.6666666666666572,58.141666667846344,2.123191789573383,19.400000000993415,12.100000002731875
1635859356.591,7.765372435443908,2.2416666646798404,7.233333333861083,1.6666666666666572,57.39999999913076,2.3101540081562035,29.504699685445885,12.56666666517657
1635859371.603,7.651275215019368,2.2416666646798404,7.066666666263103,1.7000000023593458,57.39999999913076,2.3101540081562035,29.504699685445885,12.566666665176555
1635859386.626,7.651275215019368,2.216666663686439,7.066666666263103,1.7000000023593458,56.17500000012418,2.20833333209157,19.394626309414036,12.599999997764826
1635859401.642,7.449999998013183,2.216666663686439,7.858333333084971,1.6249999993791278,56.17500000012418,2.20833333209157,19.394626309414036,12.599999997764826
1635859416.658,7.449999998013183,2.0416666722545784,8.016666665983692,1.6249999993791278,58.93333333078772,2.2583333371828047,17.566666665176527,12.233333333084985
1635859431.684,7.649999999751643,2.041666672254607,8.016666665983692,1.58333333209157,58.93333333078772,2.2583333371828047,17.566666665176555,12.233333333084985
1635859446.708,7.649999999751643,2.174999999503285,7.45000000034149,1.58333333209157,57.60833333712071,2.274999997268125,18.200000002980232,11.83333333581686
1635859461.724,7.733333334326758,2.174999999503285,7.45000000034149,1.7083333308498112,57.60833333712071,2.274999997268125,18.200000002980232,11.83333333581686
1635859476.733,7.733333334326758,2.274999997268125,7.950000000807151,1.7083333308498112,59.975000000558786,2.2666666687776598,18.899999999751643,12.900000003476947
1635859491.758,7.649999999751643,2.274999997268125,7.950000000807151,1.6916666676600727,59.97500000055879,2.2666666687776598,18.899999999751643,12.900000003476947
1635859506.783,7.649999999751643,2.162693126338496,7.9249999998137355,1.6916666676600727,59.174999996709325,2.1275532287443184,19.29999999701974,11.933333327372864
1635859521.808,7.483333330601454,2.162693126338496,7.9249999998137355,1.6249999993791278,59.174999996709325,2.1275532287443184,19.299999997019768,11.933333327372864
1635859536.826,7.483333330601454,2.07888414706386,7.383333333612725,1.6249999993791278,58.28333333445092,2.255827136616759,29.166666666666657,11.633333334078387
1635859551.845,7.533333338797092,2.07888414706386,7.383333333612725,1.5583333342025725,58.28333333445092,2.255827136616759,29.166666666666657,11.633333334078387
1635859566.87,7.533333338797092,2.275000000372529,7.024999998975574,1.5583333342025725,58.150000000993415,2.116666669026017,20,12.866666670888662
1635859581.886,7.316666661451251,2.275000000372529,7.024999998975545,1.708333333954215,58.150000000993415,2.116666669026017,20,12.866666670888662
1635859596.908,7.316666661451251,2.18333333109814,7.291666667442769,1.708333333954215,54.65833333476136,2.3750000012417587,18.93333333854872,12.566666665176555
