"Time","worker1","system-worker1","system-worker2","vegeta","worker3","master","worker4","worker2"
1635868213.788,2.216666666790857,19.400000000993415,13.666666665424898,12.516666669398546,2.1416666669150146,7.716666666480393,1.7333333349476305,93.38333333532016
1635868228.813,2.2583333340783867,20.633333331594855,13.666666665424898,12.233333339293793,2.1416666669150146,7.716666666480393,1.7333333349476305,93.38333333532016
1635868243.834,2.2583333340783867,20.633333331594855,13.533333335071802,12.233333339293793,2.0666666670392004,7.683333333116025,1.7333333318432125,96.65833333041519
1635868258.859,2.041666662941381,19.066666668901846,13.533333335071802,12.499999993791192,2.0666666670392004,7.683333333116025,1.7333333318432125,96.65833333041519
1635868273.885,2.041666662941381,19.066666668901846,13.13333333159487,12.499999993791192,2.0297293678033412,8.116666666076839,1.6666666666666714,95.86666666747381
1635868288.909,2.100000002731875,20.733333329359695,13.13333333159487,12.41666667163372,2.0297293678033412,8.116666666076839,1.6666666666666714,95.86666666747381
1635868303.924,2.100000002731875,20.733333329359695,14.100000001490116,12.41666667163372,2.1869582647030796,7.591666667722151,1.7499999981373549,95.7083333361273
1635868318.972,2.1847815213511694,19.466666666169957,14.100000001490116,12.366666663438082,2.1869582647030796,7.591666667722151,1.7499999981373549,95.7083333361273
1635868334.025,2.1847815213511694,19.466666666169957,14.066666662693024,12.366666663438082,2.12177736401145,7.366666666542486,1.758333332836628,94.99166666374852
1635868349.048,2.212669533342577,31.7333333318432,14.066666662693024,12.149999998509884,2.12177736401145,7.366666666542486,1.758333332836628,94.99166666374852
1635868364.073,2.212669533342577,31.733333331843212,14.033333336313575,12.149999998509884,2.2533190968215564,7.633333332681403,1.7333333349476163,96.09999999869615
1635868379.1,2.33593437499178,21.066666667660073,14.033333336313575,12.816666668901846,2.2533190968215564,7.633333332681403,1.7333333349476163,96.09999999869615
1635868394.123,2.33593437499178,21.066666667660073,14.166666666666671,12.816666668901846,2.2666666687776598,7.650000000527768,1.6916666676600727,94.03333333786577
1635868409.148,2.316666664555669,19.633333335320174,14.166666666666671,12.066666663934782,2.2666666687776598,7.65000000052774,1.6916666676600727,94.03333333786577
1635868424.171,2.316666664555669,19.63333333532016,13.600000000248357,12.066666663934782,2.0666666670392146,7.56666666672875,1.7416666665424856,96.44166666238259
1635868439.189,2.16666666790843,21.00000000248353,13.600000000248357,12.2000000004967,2.0666666670392146,7.56666666672875,1.7416666665424856,96.44166666238259
1635868454.213,2.16666666790843,21.00000000248353,13.16666666418314,12.2000000004967,2.166666661699608,7.941666666107878,1.8416666643073114,96.0916666702057
1635868469.237,2.2333333330849996,18.299999994536236,13.16666666418314,12.550000001986831,2.166666661699608,7.941666666107878,1.8416666643073114,96.0916666702057
1635868484.261,2.2333333330849854,18.299999994536236,13.966666664928198,12.550000001986831,2.241666670888648,7.733333334326758,1.7000000023593458,95.89166666536282
1635868499.286,2.099999996523067,20.633333337803677,13.966666664928198,12.416666665424898,2.241666670888648,7.733333334326758,1.7000000023593458,95.89166666536282
1635868514.303,2.099999996523067,20.633333337803677,13.766666669398546,12.416666665424898,2.091666664928198,7.649999998975559,1.58333333209157,96.13333333594103
1635868529.327,2.158333336313561,33.60000000024836,13.766666669398546,12.21666666368644,2.041666669150203,7.649999998975559,1.58333333209157,96.13333333594103
1635868544.352,2.158333336313561,33.60000000024836,13.866666667163372,12.21666666368644,2.041666669150203,7.2666666664493675,1.6666666697710752,96.54166666480403
1635868559.369,2.1500000016142735,19.23871741734871,13.866666667163372,12.51666666939856,2.216666666790843,7.266666666449353,1.6666666697710752,96.54166666480403
